"id","limit_bal_usd","sex","education","marriage","age","pay_0","pay_2","pay_3","pay_4","pay_5","pay_6","bill_amt1_usd","bill_amt2_usd","bill_amt3_usd","bill_amt4_usd","bill_amt5_usd","bill_amt6_usd","pay_amt1_usd","pay_amt2_usd","pay_amt3_usd","pay_amt4_usd","pay_amt5_usd","pay_amt6_usd","default_flag","worst_payment_status"
1,"640.000",2,2,1,24,2,2,-1,-1,-2,-2,"125.216","99.264","22.048","0.000","0.000","0.000","0.000","22.048","0.000","0.000","0.000","0.000",1,2
2,"3840.000",2,2,2,26,-1,2,0,0,0,2,"85.824","55.200","85.824","104.704","110.560","104.352","0.000","32.000","32.000","32.000","0.000","64.000",1,2
3,"2880.000",2,2,2,34,0,0,0,0,0,0,"935.648","448.864","433.888","458.592","478.336","497.568","48.576","48.000","32.000","32.000","32.000","160.000",0,0
4,"1600.000",2,2,1,37,0,0,0,0,0,0,"1503.680","1543.456","1577.312","906.048","926.688","945.504","64.000","64.608","38.400","35.200","34.208","32.000",0,0
5,"1600.000",1,2,1,57,-1,0,-1,0,0,0,"275.744","181.440","1146.720","670.080","612.672","612.192","64.000","1173.792","320.000","288.000","22.048","21.728",0,0
6,"1600.000",1,1,2,37,0,0,0,0,0,0,"2060.800","1826.208","1843.456","620.608","627.808","640.768","80.000","58.080","21.024","32.000","32.000","25.600",0,0
7,"16000.000",1,1,2,29,0,0,0,0,0,0,"11774.880","13184.736","14240.224","17364.896","15456.096","15166.208","1760.000","1280.000","1216.000","647.648","440.000","440.640",0,0
8,"3200.000",2,2,2,23,0,-1,-1,0,0,-1,"380.032","12.160","19.232","7.072","-5.088","18.144","12.160","19.232","0.000","18.592","53.984","49.344",0,0
9,"4480.000",2,3,1,28,0,0,2,0,0,0,"361.120","451.072","387.456","390.752","377.376","119.008","106.528","0.000","13.824","32.000","32.000","32.000",0,2
10,"640.000",1,3,2,35,-2,-2,-2,-2,-1,-1,"0.000","0.000","0.000","0.000","416.224","445.184","0.000","0.000","0.000","416.224","35.904","0.000",0,-1
11,"6400.000",2,3,2,34,0,0,2,0,0,-1,"354.336","313.184","177.120","80.416","58.496","119.392","73.792","0.384","1.600","9.600","119.616","2.112",0,2
12,"8320.000",2,1,2,51,-1,-1,-1,-1,-1,2,"392.352","693.440","318.912","272.544","713.184","437.376","698.176","318.912","274.656","713.632","0.000","116.480",0,2
13,"20160.000",2,2,2,41,-1,0,-1,-1,-1,-1,"388.384","208.000","208.000","208.000","208.000","91.840","32.000","208.000","208.000","208.000","91.840","0.000",0,0
